SCENARIO:
 {
    "control": {
        "seed": 42
    }, 
    "file_name": "rf_iris_split_270", 
    "policy": {
        "step_pipeline": 270
    }, 
    "setup": {
        "algorithm": "RandomForest", 
        "dataset": "iris", 
        "policy": "split", 
        "runtime": 300
    }, 
    "title": "Random Forest on Iris with Split policy"
}
## Data Pipeline
Best score: 0.866666666667 (0.0596284794) [P] | Score: 0.866666666667 (0.0596284794) [P]
Best score: 0.893333333333 (0.108320512062) [P] | Score: 0.893333333333 (0.108320512062) [P]
Best score: 0.906666666667 (0.0853749898324) [P] | Score: 0.906666666667 (0.0853749898324) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.96 (0.0326598632371) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.92 (0.04) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.813333333333 (0.122202018532) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.866666666667 (0.073029674334) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.946666666667 (0.049888765157) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.526666666667 (0.0916515138991) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.893333333333 (0.0611010092661) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.793333333333 (0.113333333333) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.946666666667 (0.0581186525805) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.6 (0.0988826464946) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.94 (0.062893207547) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.906666666667 (0.0679869268479) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.946666666667 (0.049888765157) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.76 (0.108320512062) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.36 (0.0442216638714) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.946666666667 (0.049888765157) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.953333333333 (0.06) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.933333333333 (0.073029674334) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.96 (0.0326598632371) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.946666666667 (0.04) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.873333333333 (0.075718777944) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.933333333333 (0.073029674334) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.96 (0.0326598632371) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.96 (0.0326598632371) [P]
Best score: 0.96 (0.0326598632371) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.96 (0.0442216638714) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.92 (0.0653197264742) [P]
