SCENARIO:
 {
    "control": {
        "seed": 42
    }, 
    "file_name": "rf_iris_split_120", 
    "policy": {
        "step_pipeline": 120
    }, 
    "setup": {
        "algorithm": "RandomForest", 
        "dataset": "iris", 
        "policy": "split", 
        "runtime": 300
    }, 
    "title": "Random Forest on Iris with Split policy"
}
## Data Pipeline
Best score: 0.92 (0.0884433277428) [P] | Score: 0.92 (0.0884433277428) [P]
Best score: 0.92 (0.0884433277428) [P] | Score: 0.906666666667 (0.08) [P]
Best score: 0.946666666667 (0.049888765157) [P] | Score: 0.946666666667 (0.049888765157) [P]
Best score: 0.946666666667 (0.049888765157) [P] | Score: 0.946666666667 (0.049888765157) [P]
Best score: 0.946666666667 (0.049888765157) [P] | Score: 0.94 (0.062893207547) [P]
Best score: 0.946666666667 (0.049888765157) [P] | Score: 0.946666666667 (0.049888765157) [P]
Best score: 0.946666666667 (0.049888765157) [P] | Score: 0.88 (0.0832666399786) [P]
Best score: 0.946666666667 (0.049888765157) [P] | Score: 0.946666666667 (0.04) [P]
Best score: 0.946666666667 (0.049888765157) [P] | Score: 0.933333333333 (0.0666666666667) [P]
Best score: 0.953333333333 (0.0426874949162) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.953333333333 (0.0426874949162) [P] | Score: 0.946666666667 (0.0581186525805) [P]
Best score: 0.953333333333 (0.0426874949162) [P] | Score: 0.92 (0.0653197264742) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.96 (0.0442216638714) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.946666666667 (0.049888765157) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.94 (0.062893207547) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.953333333333 (0.0520683311727) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.933333333333 (0.073029674334) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.933333333333 (0.073029674334) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.926666666667 (0.0466666666667) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.953333333333 (0.06) [P]
