SCENARIO:
 {
    "control": {
        "seed": 42
    }, 
    "file_name": "rf_iris_split_150", 
    "policy": {
        "step_pipeline": 150
    }, 
    "setup": {
        "algorithm": "RandomForest", 
        "dataset": "iris", 
        "policy": "split", 
        "runtime": 300
    }, 
    "title": "Random Forest on Iris with Split policy"
}
## Data Pipeline
Best score: 0.9 (0.0856348838578) [P] | Score: 0.9 (0.0856348838578) [P]
Best score: 0.933333333333 (0.073029674334) [P] | Score: 0.933333333333 (0.073029674334) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.96 (0.0442216638714) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.82 (0.123107902084) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.94 (0.062893207547) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.913333333333 (0.0669991708075) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.96 (0.0326598632371) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.933333333333 (0.073029674334) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.946666666667 (0.049888765157) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.946666666667 (0.0581186525805) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.946666666667 (0.049888765157) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.946666666667 (0.049888765157) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.953333333333 (0.0520683311727) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.933333333333 (0.073029674334) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.773333333333 (0.133998341615) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.933333333333 (0.073029674334) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.96 (0.0442216638714) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.913333333333 (0.06) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.96 (0.0442216638714) [P] | Score: 0.96 (0.0442216638714) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.966666666667 (0.04472135955) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.946666666667 (0.049888765157) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.953333333333 (0.06) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.826666666667 (0.0742368581711) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.74 (0.0916515138991) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.946666666667 (0.0581186525805) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.953333333333 (0.06) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.393333333333 (0.0553774924195) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.933333333333 (0.0666666666667) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.966666666667 (0.04472135955) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.94 (0.0553774924195) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.946666666667 (0.0581186525805) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.96 (0.0326598632371) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.92 (0.04) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.94 (0.0553774924195) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.92 (0.0653197264742) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.906666666667 (0.0679869268479) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.94 (0.062893207547) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.94 (0.062893207547) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.68 (0.110754984839) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.946666666667 (0.049888765157) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.706666666667 (0.137275068546) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.946666666667 (0.049888765157) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.953333333333 (0.0520683311727) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.946666666667 (0.049888765157) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.94 (0.0466666666667) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.953333333333 (0.0520683311727) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.96 (0.0326598632371) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.96 (0.0326598632371) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.96 (0.0442216638714) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.946666666667 (0.049888765157) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.606666666667 (0.131487219489) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.88 (0.0832666399786) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.966666666667 (0.0333333333333) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.933333333333 (0.0596284794) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.94 (0.062893207547) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.953333333333 (0.06) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.96 (0.0326598632371) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.966666666667 (0.04472135955) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.96 (0.0326598632371) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.753333333333 (0.103494497975) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.946666666667 (0.049888765157) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.96 (0.0442216638714) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.04472135955) [P] | Score: 0.92 (0.0653197264742) [P]
